日期,1月固定候选,在线候选,在线当日费用_元,历史窗口内各候选费用_JSON
2025-10-12,affine_saa_mpc,affine_saa_mpc,41240.35447650073,"[1034961.2932716033, 1263964.503837112, 1042465.6559998918, 1254601.599605372, 1015381.9195055654, 1020693.630699934]"
2025-10-13,affine_saa_mpc,affine_saa_mpc,41987.629621483335,"[1033368.1939902796, 1256893.1227188492, 1039958.9077519778, 1247027.1846597223, 1013926.5595110392, 1018074.6264990913]"
2025-10-14,affine_saa_mpc,affine_saa_mpc,41953.599599174304,"[1031348.9584536684, 1249826.8560805302, 1036998.4259251341, 1238597.3726099995, 1011978.6255538275, 1015964.9170034567]"
2025-10-15,affine_saa_mpc,affine_saa_mpc,42311.97130362731,"[1029019.8893560842, 1250680.705084066, 1035003.0671729564, 1238002.5780925213, 1009938.1499769009, 1016263.9375659085]"
2025-10-16,affine_saa_mpc,affine_saa_mpc,45724.536841972076,"[1026841.9235146781, 1250694.7687584234, 1037492.6250219365, 1239652.3769814302, 1008026.9526826934, 1019073.2038766543]"
2025-10-17,affine_saa_mpc,affine_saa_mpc,14186.00737329343,"[1031677.7107071914, 1257772.059924393, 1045239.1099974756, 1245956.0824030514, 1010396.0481123124, 1026353.4193608299]"
2025-10-18,affine_saa_mpc,affine_saa_mpc,13965.38561298621,"[1030051.734915156, 1253678.031835529, 1042959.8483987872, 1241695.2012449335, 1008690.1421935098, 1024636.5450866837]"
2025-10-19,affine_saa_mpc,affine_saa_mpc,45237.6739147113,"[1028682.4471033427, 1246539.553324065, 1040653.2890675246, 1234036.8241002623, 1007203.0429704204, 1022827.5331383614]"
2025-10-20,affine_saa_mpc,affine_saa_mpc,45608.27410483932,"[1029563.2937569969, 1250813.0171344262, 1043982.7334915281, 1239162.8012291365, 1006950.8342098821, 1023694.8895002939]"
2025-10-21,affine_saa_mpc,affine_saa_mpc,47094.01861935634,"[1030197.1086000063, 1249516.3630247058, 1045451.8568223413, 1238815.5650706305, 1006925.0998514316, 1025476.7055480158]"
2025-10-22,affine_saa_mpc,affine_saa_mpc,49085.81163935352,"[1031009.1399468766, 1244053.0351928733, 1047041.6736786198, 1235303.0574710546, 1007888.714374332, 1026972.8534733853]"
2025-10-23,affine_saa_mpc,affine_saa_mpc,47205.6738470057,"[1035081.803162116, 1249380.193846479, 1051987.6461826263, 1240942.3446250749, 1011121.1938800442, 1032112.1170110903]"
2025-10-24,affine_saa_mpc,affine_saa_mpc,14216.727481843476,"[1036153.1728218959, 1244656.0006643168, 1052852.5240497598, 1236278.273284696, 1012410.0445640349, 1033102.3097283281]"
2025-10-25,affine_saa_mpc,affine_saa_mpc,14367.088659979034,"[1034632.1457061964, 1244371.1777265074, 1052116.8319647566, 1235864.6665197976, 1010870.331281822, 1032091.7402731112]"
2025-10-26,affine_saa_mpc,affine_saa_mpc,48441.210382425124,"[1032629.8536843822, 1235815.7099614218, 1048675.2557249987, 1226546.781059279, 1008754.63026843, 1030082.7555244681]"
2025-10-27,affine_saa_mpc,affine_saa_mpc,47961.77934872436,"[1033578.2077056142, 1227166.6137793863, 1049776.5256782717, 1218100.3193376388, 1010110.7817463796, 1031431.2907811531]"
2025-10-28,affine_saa_mpc,affine_saa_mpc,48366.69145057787,"[1033627.3359591452, 1227937.082988528, 1051216.458836534, 1221237.8126755587, 1010467.3901005002, 1031602.2630555104]"
2025-10-29,affine_saa_mpc,affine_saa_mpc,51332.5796881516,"[1033363.6520961818, 1221306.5255661248, 1050008.2980514863, 1215162.6788477013, 1010703.0141348201, 1031707.9785234948]"
2025-10-30,affine_saa_mpc,affine_saa_mpc,49133.43644969382,"[1036093.8982981337, 1235323.5135981266, 1058393.0520740915, 1231378.7922984133, 1016292.5257557053, 1040758.239437048]"
2025-10-31,affine_saa_mpc,affine_saa_mpc,14907.449203744345,"[1040081.9346026418, 1240087.0291906658, 1062821.9335512477, 1237481.3879221124, 1020621.1594142515, 1045077.2106986367]"
2025-11-01,affine_saa_mpc,affine_saa_mpc,14584.322606016562,"[1040170.037574245, 1242080.6996902663, 1063163.0353305507, 1240087.1430190913, 1020827.0441630093, 1045359.008044724]"
2025-11-02,affine_saa_mpc,affine_saa_mpc,50201.51032069804,"[1038761.9944752066, 1242760.2389545667, 1061834.463340387, 1240174.0934219651, 1019487.2456956247, 1044075.491224074]"
2025-11-03,affine_saa_mpc,affine_saa_mpc,51687.56386624195,"[1044961.2031533131, 1252830.3668476287, 1069026.4941599716, 1251691.2107484292, 1025709.088273124, 1050443.7715288338]"
2025-11-04,affine_saa_mpc,affine_saa_mpc,51423.32186323988,"[1051790.7524477015, 1258468.0466318338, 1076631.6848638868, 1257843.430974806, 1032397.6702333726, 1057202.52633121]"
2025-11-05,affine_saa_mpc,affine_saa_mpc,52534.280853975535,"[1059283.9350703645, 1264722.2507532025, 1084864.3448025724, 1264153.992423696, 1039740.5499800768, 1065134.8632669868]"
2025-11-06,affine_saa_mpc,affine_saa_mpc,55527.86509373056,"[1071787.0221342482, 1270022.8029575304, 1096143.9673494326, 1268767.5625853261, 1052080.8115915551, 1077349.699802682]"
2025-11-07,affine_saa_mpc,affine_saa_mpc,15074.676719309758,"[1087055.931392928, 1284158.651948122, 1113306.446815375, 1284115.4353268207, 1067160.3394143917, 1094336.3242169698]"
2025-11-08,affine_saa_mpc,affine_saa_mpc,15073.842029616022,"[1089038.5443156597, 1284977.0759234068, 1115272.4559709558, 1283644.9093173638, 1069088.4949793108, 1096838.1093744077]"
2025-11-09,affine_saa_mpc,affine_saa_mpc,53531.01032959478,"[1090501.250368262, 1282795.100543731, 1116511.200358484, 1281199.2382034676, 1070435.2829722713, 1098151.8879736045]"
2025-11-10,affine_saa_mpc,affine_saa_mpc,54349.52904794671,"[1102986.7887318581, 1291456.4342599898, 1127891.2064965991, 1290762.7909400042, 1082725.9388253656, 1110131.9337033778]"
